co,route,orig_tc,orig_en,dest_tc,dest_en,orig_sc,dest_sc,data_timestamp
CTB,73P,深灣,Sham Wan,數碼港,Cyberport,深湾,数码港,2020-05-22T05:00:02+08:00
CTB,73S,赤柱市場,Stanley Market,海洋公園,Ocean Park,赤柱市场,海洋公园,2020-05-22T05:00:02+08:00
CTB,75,深灣,Sham Wan,中環 (交易廣場),Central (Exchange Square),深湾,中环 (交易广场),2020-05-22T05:00:02+08:00
CTB,76,石排灣,Shek Pai Wan,銅鑼灣 (邊寧頓街),Causeway Bay (Pennington Street),石排湾,铜锣湾 (边宁顿街),2020-05-22T05:00:02+08:00
CTB,77,田灣,Tin Wan,筲箕灣,Shau Kei Wan,田湾,筲箕湾,2020-05-22T05:00:02+08:00
CTB,77A,筲箕灣,Shau Kei Wan,田灣,Tin Wan,筲箕湾,田湾,2020-05-22T05:00:02+08:00
CTB,77S,田灣,Tin Wan,筲箕灣,Shau Kei Wan,田湾,筲箕湾,2020-05-22T05:00:02+08:00
CTB,77X,華貴邨,Wah Kwai Estate,西灣河,Sai Wan Ho,华贵邨,西湾河,2020-05-22T05:00:02+08:00
CTB,780,柴灣 (東),Chai Wan (East),中環碼頭,Central (Ferry Piers),柴湾 (东),中环码头,2020-05-22T05:00:02+08:00
CTB,780P,興華 (經銅鑼灣),Hing Wah (via Causeway Bay),中環碼頭,Central (Ferry Piers),兴华 (经铜锣湾),中环码头,2020-05-22T05:00:02+08:00
CTB,788,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),中環 (港澳碼頭),Central (Macau Ferry),小西湾 (蓝湾半岛),中环 (港澳码头),2020-05-22T05:00:02+08:00
CTB,789,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),金鐘 (樂禮街),Admiralty (Rodney Street),小西湾 (蓝湾半岛),金钟 (乐礼街),2020-05-22T05:00:02+08:00
CTB,85,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),寶馬山／北角,Braemar Hill / North Point,小西湾 (蓝湾半岛),宝马山／北角,2020-05-22T05:00:02+08:00
CTB,85A,筲箕灣,Shau Kei Wan,寶馬山,Braemar Hill,筲箕湾,宝马山,2020-05-22T05:00:02+08:00
CTB,85P,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),寶馬山,Braemar Hill,小西湾 (蓝湾半岛),宝马山,2020-05-22T05:00:02+08:00
CTB,88R,沙田第一城,City One Shatin,中環,Central,沙田第一城,中环,2020-05-22T05:00:02+08:00
CTB,8S,跑馬地馬場,Happy Valley Racecourse,小西灣 (藍灣半島),Siu Sai Wan (Island Resort),跑马地马场,小西湾 (蓝湾半岛),2020-05-22T05:00:02+08:00
